InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
c7g.medium,us-west-2,usw2-az4,3.0,0.0,0.0297
inf2.xlarge,us-west-2,usw2-az4,3.0,0.0,0.1961
inf2.xlarge,us-west-2,usw2-az3,3.0,0.0,0.1695
inf2.xlarge,us-west-2,usw2-az1,3.0,0.0,0.2186
inf2.xlarge,us-west-2,usw2-az2,3.0,0.0,0.218
c7g.12xlarge,us-west-2,usw2-az3,3.0,0.0,0.8909
r5n.xlarge,us-west-2,usw2-az3,3.0,0.0,0.1388
r5n.xlarge,us-west-2,usw2-az1,3.0,0.0,0.1125
r5n.xlarge,us-west-2,usw2-az2,3.0,0.0,0.1234
c7g.large,us-west-2,usw2-az1,3.0,0.0,0.0473
c7g.large,us-west-2,usw2-az3,3.0,0.0,0.0587
c7g.large,us-west-2,usw2-az4,3.0,0.0,0.0491
c7g.large,us-west-2,usw2-az2,3.0,0.0,0.0513
r6idn.large,us-west-2,usw2-az3,3.0,0.0,0.05
r6idn.large,us-west-2,usw2-az2,3.0,0.0,0.0475
r6idn.large,us-west-2,usw2-az1,3.0,0.0,0.0534
c7gn.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.1704
m7a.xlarge,us-west-2,usw2-az3,3.0,0.0,0.1155
m7a.xlarge,us-west-2,usw2-az2,3.0,0.0,0.1139
m7a.xlarge,us-west-2,usw2-az1,3.0,0.0,0.1094
r6gd.xlarge,us-west-2,usw2-az1,3.0,0.0,0.0994
r6gd.xlarge,us-west-2,usw2-az2,3.0,0.0,0.1245
r6gd.xlarge,us-west-2,usw2-az3,3.0,0.0,0.1175
r6gd.xlarge,us-west-2,usw2-az4,3.0,0.0,0.0895
m6g.12xlarge,us-west-2,usw2-az3,3.0,0.0,0.9456
m6i.8xlarge,us-west-2,usw2-az1,3.0,0.0,0.6927
m6i.8xlarge,us-west-2,usw2-az3,3.0,0.0,0.72
m6i.8xlarge,us-west-2,usw2-az2,3.0,0.0,0.7164
m6i.8xlarge,us-west-2,usw2-az4,3.0,0.0,0.8284
m5a.4xlarge,us-west-2,usw2-az4,3.0,0.0,0.3561
m5a.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.3675
m5a.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.3587
r5d.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.2448
r5d.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.289
r5d.2xlarge,us-west-2,usw2-az4,3.0,0.0,0.2616
r5d.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.2538
g4ad.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.3677
g4ad.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.332
